DATETIME,VOLTAGE,CURRENT,POWER,UNITS
2025-03-24 01:30:05,64.3,0.12,7.42,0.43
2025-03-24 01:31:05,64.67,0.11,7.26,0.43
2025-03-24 01:32:05,64.76,0.1,6.64,0.43
2025-03-24 01:33:07,64.01,0.13,8.11,0.43
2025-03-24 01:34:07,63.67,0.11,6.79,0.43
2025-03-24 01:35:08,63.55,0.11,7.0,0.43
2025-03-24 01:36:08,62.89,0.11,6.79,0.43
2025-03-24 01:37:10,64.78,0.1,6.58,0.44
2025-03-24 01:38:11,65.69,0.13,8.54,0.44
2025-03-24 01:39:10,64.33,0.11,7.23,0.44
2025-03-24 01:40:14,65.08,0.13,8.5,0.44
2025-03-24 01:41:05,64.03,0.11,7.22,0.44
2025-03-24 01:42:05,64.21,0.11,6.86,0.44
2025-03-24 01:43:09,63.32,0.11,6.8,0.44
2025-03-24 01:44:10,62.98,0.11,7.21,0.44
2025-03-24 01:45:11,63.15,0.11,6.79,0.44
2025-03-24 01:46:05,63.76,0.1,6.47,0.44
2025-03-24 01:47:10,64.08,0.1,6.32,0.44
2025-03-24 01:48:09,63.86,0.09,5.98,0.44
2025-03-24 01:49:13,63.84,0.11,7.16,0.44
2025-03-24 01:50:08,63.38,0.11,6.98,0.44
2025-03-24 01:51:10,63.56,0.11,7.16,0.44
2025-03-24 01:52:05,64.79,0.11,6.92,0.44
2025-03-24 01:53:08,63.0,0.11,7.05,0.44
2025-03-24 01:54:09,63.59,0.1,6.66,0.44
2025-03-24 01:55:10,64.66,0.12,7.67,0.44
2025-03-24 01:56:10,62.99,0.11,7.13,0.44
2025-03-24 01:57:12,63.73,0.11,6.98,0.44
2025-03-26 23:31:37,61.12,0.17,10.36,0.46
2025-03-26 23:32:49,62.7,0.09,5.71,0.46
2025-03-26 23:33:41,62.09,0.09,5.87,0.46
2025-03-26 23:34:42,62.55,0.15,9.16,0.46
2025-03-26 23:35:43,62.44,0.12,7.39,0.46
2025-03-26 23:36:41,61.65,0.09,5.54,0.46
2025-03-26 23:37:54,62.57,0.13,8.4,0.46
2025-03-26 23:38:41,61.26,0.21,12.71,0.46
2025-03-26 23:39:46,62.5,0.22,13.44,0.46
2025-03-26 23:42:49,63.83,0.2,13.02,0.46
2025-03-26 23:43:00,62.94,0.2,12.43,0.46
2025-03-26 23:43:45,61.91,0.22,13.34,0.46
2025-03-26 23:44:41,62.61,0.2,12.72,0.46
2025-03-26 23:45:49,62.36,0.21,12.89,0.46
2025-03-26 23:46:45,61.79,0.22,13.67,0.46
2025-03-26 23:47:39,62.41,0.22,13.65,0.46
2025-03-26 23:48:44,63.47,0.09,5.89,0.46
2025-03-26 23:49:39,61.49,2.89,177.56,0.46
2025-03-26 23:50:44,60.67,2.9,175.81,0.47
2025-03-26 23:51:37,61.08,2.9,177.21,0.47
2025-03-26 23:52:37,62.83,0.09,5.57,0.47
2025-03-26 23:53:40,63.49,0.09,5.68,0.47
2025-03-26 23:54:47,61.98,2.92,181.26,0.47
2025-03-26 23:55:41,60.01,2.88,173.02,0.47
2025-03-26 23:57:24,62.35,0.09,5.82,0.47
2025-03-26 23:57:43,61.88,0.1,6.37,0.47
2025-03-26 23:58:42,62.67,0.11,6.68,0.47
2025-03-26 23:59:47,61.45,2.88,176.68,0.48
2025-03-26 00:00:38,3.65,0.09,0.32,0.48
2025-03-26 00:01:38,63.24,0.11,6.68,0.48
2025-03-26 00:02:46,62.39,0.12,7.33,0.48
2025-03-26 00:03:42,63.27,0.13,8.42,0.48
2025-03-26 00:04:39,2.17,0.14,0.3,0.48
2025-03-26 00:05:47,61.82,2.98,184.17,0.48
2025-03-26 00:06:47,63.19,0.23,14.38,0.48
2025-03-26 00:07:39,60.88,2.96,180.37,0.48
2025-03-26 00:08:49,3.91,0.07,0.27,0.48
2025-03-26 00:09:52,60.24,2.98,179.28,0.48
2025-03-26 00:10:39,60.2,2.98,179.39,0.49
2025-03-26 00:12:00,62.06,1.6,99.32,0.49
2025-03-26 00:12:39,63.5,0.22,14.12,0.49
2025-03-26 00:13:51,61.55,0.22,13.24,0.49
2025-03-26 00:14:41,63.11,0.2,12.79,0.49
2025-03-26 00:15:39,63.28,0.15,9.25,0.49
2025-03-26 00:16:44,64.48,0.16,10.1,0.49
2025-03-26 00:17:48,63.25,0.15,9.32,0.49
2025-03-26 00:18:39,63.23,0.14,8.58,0.49
2025-03-26 00:19:42,4.96,0.13,0.66,0.49
2025-03-26 00:20:41,64.09,0.38,24.36,0.49
2025-03-26 00:21:37,64.39,0.17,11.16,0.49
2025-03-26 00:22:46,64.24,0.17,10.74,0.49
2025-03-26 00:23:43,63.87,0.16,9.96,0.49
2025-03-26 00:24:42,64.08,0.17,11.13,0.49
2025-03-26 00:25:37,64.24,0.17,11.03,0.49
2025-03-26 00:26:38,62.32,0.16,9.89,0.49
2025-03-26 00:28:02,63.68,0.15,9.46,0.49
2025-03-26 00:28:44,64.47,0.16,10.36,0.49
2025-03-26 00:29:42,62.98,0.17,10.67,0.49
2025-03-26 00:30:43,64.27,0.16,10.3,0.49
2025-03-26 00:31:47,64.53,0.14,9.26,0.49
2025-03-26 00:32:39,62.98,0.15,9.75,0.49
2025-03-26 00:33:38,63.39,0.16,9.96,0.49
2025-03-26 00:34:47,64.04,0.16,10.15,0.49
2025-03-26 00:35:37,63.23,0.16,10.21,0.49
2025-03-26 00:36:46,63.92,0.15,9.68,0.49
2025-03-26 00:37:42,63.61,0.15,9.66,0.49
2025-03-26 00:38:38,64.29,0.14,9.17,0.49
2025-03-26 00:39:43,63.16,0.16,9.85,0.49
2025-03-26 00:40:41,62.42,0.16,10.16,0.49
2025-03-26 00:41:41,62.25,0.17,10.39,0.49
2025-03-26 00:42:45,63.55,0.15,9.8,0.49
2025-03-26 00:43:41,63.84,0.16,9.95,0.49
2025-03-26 00:44:40,64.17,0.16,10.55,0.49
2025-03-26 00:45:37,62.11,0.15,9.2,0.5
2025-03-26 00:46:46,64.45,0.15,9.48,0.5
